schema_version,shortcode,item_type,post_url,author_handle,saved_collection,caption_text,likes_count,comments_count,published_at,audio_title,audio_original_or_trending,data_quality,data_quality_reason,engagement_proxy,trend_age_days,priority_flag,shortlist_flag,parsed_at
1.0,DVQNkc1ittY,post,https://www.instagram.com/p/DVQNkc1ittY/,p,Instagram,"Реально интересные вопросы для ребенка . #ребенок #ребёнок"".",31000,60,,"Мама Может в Instagram : ""Реально интересные вопросы для ребенка . #ребенок #ребёнок""",trending_or_other,partial,some_fields_missing,31132,,watch,no,2026-03-16T14:16:38.352Z
1.0,DU58vGKDTT7,post,https://www.instagram.com/p/DU58vGKDTT7/,p,Instagram,"срочно отправляй своей 30-летней подруге!🐈‍⬛🤌🏼 больше полезного у: @trener_diakova и ты обязательно попробуй, всего 10 упражнений, а ощущения в теле🔥 * упражнения не должны доставлять сильных болевых ощущений, максимум легкий дискомфорт и приятное натяжение! ** видео ускорено в 2-3 раза, выполнять упражнения следует медленно и подконтрольно! ‼️у меня есть курс в записи - 15 полноценных тренировок (25-35 мин каждая тренировка) для развития гибкости, осанки и шпагатов, в формате «смотри и повторяй» доступ навсегда - 99$🔥🔥🔥 пиши в директ «хочу курс»💌 #стретчинг #осанка #здороваяспина #шпагатдома #тренеронлайн"".",87000,1260,,"растяжка • осанка • шпагат • гибкое здоровое тело♥️ в Instagram : ""срочно отправляй своей 30-летней подруге!🐈‍⬛🤌🏼

больше полезного у: @trener_diakova 

и ты обязательно попробуй, всего 10 упражнений, а ощущения в теле🔥

* упражнения не должны доставлять сильных болевых ощущений, максимум легкий дискомфорт и приятное натяжение!
** видео ускорено в 2-3 раза, выполнять упражнения следует медленно и подконтрольно!

‼️у меня есть курс в записи - 15 полноценных тренировок (25-35 мин каждая тренировка) для развития гибкости, осанки и шпагатов, в формате «смотри и повторяй» доступ навсегда - 99$🔥🔥🔥
пиши в директ «хочу курс»💌

#стретчинг #осанка #здороваяспина #шпагатдома #тренеронлайн""",trending_or_other,partial,some_fields_missing,89772,,watch,no,2026-03-16T14:16:38.319Z
1.0,DUu0CAhjf6Z,post,https://www.instagram.com/p/DUu0CAhjf6Z/,p,Instagram,"Мой цветочный стиль 💔"".",317000,1834,,"Павел Полков | Наставник для флористов в Instagram : ""Мой цветочный стиль 💔""",trending_or_other,partial,some_fields_missing,321035,,watch,yes,2026-03-16T14:16:38.523Z
1.0,DQYIYCDEfZX,post,https://www.instagram.com/p/DQYIYCDEfZX/,p,Instagram,"Моё первое видео про нашу кофейню в ленте. Немного коряво, но дальше будет лучше, обещаю!"".",26000,636,,"Гулнура в Instagram : ""Моё первое видео про нашу кофейню в ленте. Немного коряво, но дальше будет лучше, обещаю!""",trending_or_other,partial,some_fields_missing,27399,,watch,no,2026-03-16T14:16:39.650Z
1.0,DPGR7I1jG3j,post,https://www.instagram.com/p/DPGR7I1jG3j/,p,Instagram,"Кого не хватает в этом списке? Комментарии, предложения?💌 Спасибо за просмотр и слушайте классную музыку!"".",65000,1728,,"Настя Грабович•свобода быть собой в Instagram : ""Кого не хватает в этом списке? Комментарии, предложения?💌
 Спасибо за просмотр и слушайте классную музыку!""",trending_or_other,partial,some_fields_missing,68802,,watch,no,2026-03-16T14:16:39.843Z
1.0,DO3qKeFjYgB,post,https://www.instagram.com/p/DO3qKeFjYgB/,p,Instagram,"не могу сказать что прям отрываю от души, скорее отстегиваю. Муа ✨"".",89000,419,,"Клинический психолог | КПТ | Мария в Instagram : ""не могу сказать что прям отрываю от души, скорее отстегиваю. Муа ✨""",trending_or_other,partial,some_fields_missing,89922,,watch,no,2026-03-16T14:16:40.090Z
1.0,DPpClFTCEAe,post,https://www.instagram.com/p/DPpClFTCEAe/,p,Instagram,"Наконец-то закончили обустройство спальни Прямые ccылки оставил в шапке профиля или загляните в комменты 👉"".",628000,2048,,"Александр Би́бик в Instagram : ""Наконец-то закончили обустройство спальни

Прямые ccылки оставил в шапке профиля или загляните в комменты 👉""",trending_or_other,partial,some_fields_missing,632506,,watch,yes,2026-03-16T14:16:41.444Z
1.0,DPmSuYODfa2,post,https://www.instagram.com/p/DPmSuYODfa2/,p,Instagram,"Сохраняй и подавайся, больше лайфхаков по UGC в аккаунте @lexi.newz #ugc #жизньвамерике #жизньвсша #сша"".",230,7,,"Sasha | Videomaker | UGC creator в Instagram : ""Сохраняй и подавайся, больше лайфхаков по UGC в аккаунте @lexi.newz 

#ugc #жизньвамерике #жизньвсша #сша""",trending_or_other,partial,some_fields_missing,245,,watch,no,2026-03-16T14:16:41.509Z
1.0,DN5t3OCCiur,post,https://www.instagram.com/p/DN5t3OCCiur/,p,Instagram,,19000,495,,Лизонька🪡 в Instagram ,trending_or_other,partial,some_fields_missing,20089,,watch,no,2026-03-16T14:16:41.744Z
1.0,DMX971TotFw,post,https://www.instagram.com/p/DMX971TotFw/,p,Instagram,"Если я слышу на консультации что человек хочет стать взрослее, и проработать детскую позицию, я понимаю, что с этим у него все хорошо, потому что инфантильный человек никогда не пойдет с этим в терапию и даже не признает, что с ним что-то не так. ⠀ А вот как раз ответственные тревожные люди, которые рано повзрослели и привыкли много на себя брать, постоянно считают себя недостаточно зрелыми, взрослыми и пытаются еще больше себя засунуть в дисциплину. ⠀ Исцеление для таких людей в проживании детства, которое чаще всего у них было забрано ( инфантильные родители, тревожные времена, небезопасная ситуация), этим людям очень важно по настоящему прожить период детства и подросткового возраста, где не надо брать ответственность за сестру, мать, пьющего отца или загадывать деньги в 14. ⠀ В шапке тест на тревогу, сделай диагностику своего состояния Сейчас и узнай, что делать)"".",25000,414,,"Владислава Гáльченко. Вдохновляю жить🪄 в Instagram : ""Если я слышу на консультации
что человек хочет стать взрослее, и проработать детскую позицию, я понимаю, что с этим у него все хорошо, потому что инфантильный человек никогда не пойдет с этим в терапию и даже не признает, что с ним что-то не так.
⠀
А вот как раз ответственные тревожные люди, которые рано повзрослели и привыкли много на себя брать, постоянно считают себя недостаточно зрелыми, взрослыми и пытаются еще больше себя засунуть в дисциплину.
⠀
Исцеление для таких людей в проживании детства, которое чаще всего у них было забрано ( инфантильные родители, тревожные времена, небезопасная ситуация), этим людям очень важно по настоящему прожить период детства и подросткового возраста, где не надо брать ответственность за сестру, мать, пьющего отца или загадывать деньги в 14.
⠀
В шапке тест на тревогу, сделай диагностику своего состояния Сейчас и узнай, что делать)""",trending_or_other,partial,some_fields_missing,25911,,watch,no,2026-03-16T14:16:42.822Z
1.0,DMzqaVeMX-3,post,https://www.instagram.com/p/DMzqaVeMX-3/,p,Instagram,"отсняли новую коллекцию букетов! ❤️‍🔥 обновляем сайт [ссылка в шапке профиля], чтобы радовать Вас крутыми авторскими букетами! какой букет запал в сердечко? делитесь в комментариях 💌"".",53000,734,,"ATMOS - ЦВЕТЫ ДОСТАВКА | МОСКВА | МЫТИЩИ в Instagram : ""отсняли новую коллекцию букетов! ❤️‍🔥
обновляем сайт [ссылка в шапке профиля], чтобы радовать Вас крутыми авторскими букетами! 

какой букет запал в сердечко? делитесь в комментариях 💌""",trending_or_other,partial,some_fields_missing,54615,,watch,no,2026-03-16T14:16:43.011Z
1.0,DJlT7k4iD3r,post,https://www.instagram.com/p/DJlT7k4iD3r/,p,Instagram,"Тгк: lisaandherbooks"".",25000,2852,,"Лиза — недушные истории в Instagram : ""Тгк: lisaandherbooks""",trending_or_other,partial,some_fields_missing,31274,,watch,no,2026-03-16T14:16:44.007Z
1.0,DH_qvnDu-eR,post,https://www.instagram.com/p/DH_qvnDu-eR/,p,Instagram,"Love watching these reactions of Hi Ren 🫶 big up the reactors 🙏 @robsquadreactions @AJMorenoUK @thefairyvoicemother @thecharismaticvoice @kathrynlaynereacts @ThatSingerDude @JAMEL_AKA_JAMAL #renmakesmusic #ukartist #hiren #originalmusic #mentalhealthawareness #musicreactions"".",2000000,19000,,"Ren в Instagram : ""Love watching these reactions of Hi Ren 🫶

big up the reactors 🙏

@robsquadreactions
@AJMorenoUK 
@thefairyvoicemother
@thecharismaticvoice
@kathrynlaynereacts
@ThatSingerDude 
@JAMEL_AKA_JAMAL 

#renmakesmusic #ukartist #hiren #originalmusic #mentalhealthawareness #musicreactions""",trending_or_other,partial,some_fields_missing,2041800,,watch,yes,2026-03-16T14:16:45.047Z
1.0,DJPj37uot0-,post,https://www.instagram.com/p/DJPj37uot0-/,p,Instagram,"Я не ожидала, что брюки могут быть такими удобными и стильными. AirSense — как спорт, но делово. Chinohose — на все случаи жизни. Хочешь такие же? Пиши — привезу из Германии! #uniqlo#шопингевропа #одеждаизгермании #стильбезграниц"".",7894,178,,"Nurzada Mamytova в Instagram : ""Я не ожидала, что брюки могут быть такими удобными и стильными. AirSense — как спорт, но делово. Chinohose — на все случаи жизни. Хочешь такие же? Пиши — привезу из Германии!
#uniqlo#шопингевропа #одеждаизгермании #стильбезграниц""",trending_or_other,partial,some_fields_missing,8286,,watch,no,2026-03-16T14:16:45.545Z
1.0,DExZEhQoyT9,post,https://www.instagram.com/p/DExZEhQoyT9/,p,Instagram,"Часть 1 — фундаментальная, как говорится 🖤 Вообще, всегда мечтала создать книжный клуб, где мы собирались бы каждое воскресенье, чтобы обсудить прочитанное. Может и будет иногда такое сбываться? 🌙✨🌱"".",97000,427,,"Вика — твоя духовная подруга в Instagram : ""Часть 1 — фундаментальная, как говорится 🖤 Вообще, всегда мечтала создать книжный клуб, где мы собирались бы каждое воскресенье, чтобы обсудить прочитанное. Может и будет иногда такое сбываться? 🌙✨🌱""",trending_or_other,partial,some_fields_missing,97939,,watch,yes,2026-03-16T14:16:45.624Z
1.0,DI-o2ofMq-W,post,https://www.instagram.com/p/DI-o2ofMq-W/,p,Instagram,"1. Прогуляться по ночному городу 2. Смотреть на закат в полной тишине 3. Поиграть в настольную игру 4. Вместе приготовить новое блюдо 5. Выписать 10 причин, за что вы благодарны друг другу 6. Придумать общий ритуал на утро 7. Устроить день без телефонов 8. Пересмотреть старые фото 9. Слушать музыку и просто молчать 10. Побыть туристами в своём городе 11. Написать друг другу письмо от руки 12. Пройти вместе квест 13. Обняться и посидеть молча 10 минут 14. Вместе научиться чему-то новому 15. Спонтанно поехать куда-то 16. Сделать друг другу массаж без намёков на с*кс 17. Придумать совместную мечту 18. Переночевать на новом месте 19. Обсудить самые смелые мечты 20. Сделать подарок без повода 21. Составить совместный плейлист 22. Искренне попросить прощения за старую обиду 23. Признаться в своих страхах 24. Устроить вечер детских воспоминаний 25. Познакомить друг друга со своими любимыми книгами 26. Посетить новое место 27. Придумать своё тайное слово 28. Вместе молчать, не испытывая неловкости 29. Залезть на крышу и просто сидеть 30. Задать друг другу неловкие вопросы 31. Посмотреть фильм о любви 32. Сделать что-то руками вместе: лепка, рисование 33. Устроить пикник 34. Рассказать, о чём давно мечтали 35. Придумать безумный план на выходные 36. Вместе сделать доброе дело 37. Пойти в поход 38. Обменяться списками «что я хочу успеть за жизнь» 39. Послушать подкасты 40. Ввести традицию «вечер правды» раз в месяц 41. Станцевать под музыку 42. Написать совместную историю 43. Пройти челлендж или марафон 44. Обнять крепко, не отпуская, целую минуту 45. Вместе встретить рассвет 46. Поменять маршрут домой 47. Завести совместный дневник наблюдений 48. Признаться в своих слабостях 49. Построить планы на безумное будущее 50. Просто посмотреть друг другу в глаза и не говорить ни слова Полгода и я набрал 100к подписчиков – и это реально! Напиши «Методика» в комментариях, и я расскажу свой рецепт ✔️"".",2906,18,,"Михаил Есаян в Instagram : ""1. Прогуляться по ночному городу 
2. Смотреть на закат в полной тишине 
3. Поиграть в настольную игру 
4. Вместе приготовить новое блюдо 
5. Выписать 10 причин, за что вы благодарны друг другу 
6. Придумать общий ритуал на утро 
7. Устроить день без телефонов 
8. Пересмотреть старые фото 
9. Слушать музыку и просто молчать 
10. Побыть туристами в своём городе 
11. Написать друг другу письмо от руки 
12. Пройти вместе квест 
13. Обняться и посидеть молча 10 минут 
14. Вместе научиться чему-то новому 
15. Спонтанно поехать куда-то
16. Сделать друг другу массаж без намёков на с*кс 
17. Придумать совместную мечту 
18. Переночевать на новом месте 
19. Обсудить самые смелые мечты
20. Сделать подарок без повода 
21. Составить совместный плейлист 
22. Искренне попросить прощения за старую обиду 
23. Признаться в своих страхах 
24. Устроить вечер детских воспоминаний 
25. Познакомить друг друга со своими любимыми книгами 
26. Посетить новое место
27. Придумать своё тайное слово 
28. Вместе молчать, не испытывая неловкости 
29. Залезть на крышу и просто сидеть 
30. Задать друг другу неловкие вопросы 
31. Посмотреть фильм о любви
32. Сделать что-то руками вместе: лепка, рисование 
33. Устроить пикник
34. Рассказать, о чём давно мечтали
35. Придумать безумный план на выходные 
36. Вместе сделать доброе дело
37. Пойти в поход
38. Обменяться списками «что я хочу успеть за жизнь» 
39. Послушать подкасты
40. Ввести традицию «вечер правды» раз в месяц 
41. Станцевать под музыку 
42. Написать совместную историю 
43. Пройти челлендж или марафон 
44. Обнять крепко, не отпуская, целую минуту 
45. Вместе встретить рассвет 
46. Поменять маршрут домой 
47. Завести совместный дневник наблюдений 
48. Признаться в своих слабостях 
49. Построить планы на безумное будущее 
50. Просто посмотреть друг другу в глаза и не говорить ни слова 

Полгода и я набрал 100к подписчиков – и это реально! Напиши «Методика» в комментариях, и я расскажу свой рецепт ✔️""",trending_or_other,partial,some_fields_missing,2946,,watch,no,2026-03-16T14:16:46.441Z
1.0,DIRzn41syHs,post,https://www.instagram.com/p/DIRzn41syHs/,p,Instagram,"Это важно знать каждой🫂 Запоминай и оставайся со мной @arinarykova_ , здесь еще больше контента для твоей здоровой и красивой фигуры ✨"".",348000,1249,,"Арина Рыкова | ФИТНЕС | ТРЕНИРОВКИ | ПИТАНИЕ в Instagram : ""Это важно знать каждой🫂

Запоминай и оставайся со мной @arinarykova_ , здесь еще больше контента для твоей здоровой и красивой фигуры ✨""",trending_or_other,partial,some_fields_missing,350748,,watch,yes,2026-03-16T14:16:47.176Z
1.0,DI3bqGfoiyF,post,https://www.instagram.com/p/DI3bqGfoiyF/,p,Instagram,"Вдруг вы тоже легли спать с мокрой головой. #обьем #hairvolume #hairstyle #hairbyeclipse #tutorialbyeclipse #укладка #сухойшампунь #rnco"".",461,8,,"маша дац в Instagram : ""Вдруг вы тоже легли спать с мокрой головой. 

#обьем #hairvolume #hairstyle #hairbyeclipse #tutorialbyeclipse #укладка #сухойшампунь #rnco""",trending_or_other,partial,some_fields_missing,479,,watch,no,2026-03-16T14:16:48.171Z
1.0,DI0zhawoDWV,post,https://www.instagram.com/p/DI0zhawoDWV/,p,Instagram,"1. “Ты имеешь право на силу. И на мягкость тоже.” Он не обязан быть жёстким, чтобы быть мужественным. Он может быть чувствительным — и при этом сильным. И если мама даст этому место — он не будет прятать свою суть за бронёй. 2. “Я верю тебе, даже если ты ещё учишься быть честным.” Ребёнок не рождается честным — он становится им, когда его не стыдят за ошибки, а поддерживают в правде. 3. “Ты не обязан быть удобным. Но ты всегда важен.” Он должен знать: любовь не зависит от послушания. Тогда он не вырастет мужчиной, который подстраивается, лишь бы его не отвергли. 4. “Твои эмоции не пугают меня. Я рядом.” Слёзы не делают его слабым. А гнев не делает его плохим. Он учится регулировать, только если мама не исчезает от его чувств. 5. “Ты не обязан всё делать идеально. Ты просто учишься.” Мужчина с травмой “будь лучшим” выгорает уже в школе. Мужчина с поддержкой “я с тобой, даже когда не вышло” — растёт с корнем. 6. “У тебя есть своё мнение. И я готова его слушать.” Когда мама слышит его — он потом умеет говорить. Слова мальчика, которые уважают — становятся голосом мужчины, который не молчит. 7. “Ты — это дар. Не потому что ты мой. А потому что ты ты.” Ему не нужно спасать мир, чтобы быть ценным. Если он чувствует свою значимость с детства — он потом не будет искать её в чужом одобрении. Финал: Ты не воспитываешь просто мальчика. Ты закладываешь мужчину, который когда-то будет рядом с женщиной, детьми, миром. Скажи это сегодня. Пусть его сила начинается с твоей веры в него."".",10000,71,,"Ваня Машкарин | ведущий | отношения в Instagram : ""1. “Ты имеешь право на силу. И на мягкость тоже.”
Он не обязан быть жёстким, чтобы быть мужественным.
Он может быть чувствительным — и при этом сильным.
И если мама даст этому место — он не будет прятать свою суть за бронёй.

2. “Я верю тебе, даже если ты ещё учишься быть честным.”
Ребёнок не рождается честным — он становится им,
когда его не стыдят за ошибки, а поддерживают в правде.

3. “Ты не обязан быть удобным. Но ты всегда важен.”
Он должен знать: любовь не зависит от послушания.
Тогда он не вырастет мужчиной, который подстраивается, лишь бы его не отвергли.

4. “Твои эмоции не пугают меня. Я рядом.”
Слёзы не делают его слабым.
А гнев не делает его плохим.
Он учится регулировать, только если мама не исчезает от его чувств.

5. “Ты не обязан всё делать идеально. Ты просто учишься.”
Мужчина с травмой “будь лучшим” выгорает уже в школе.
Мужчина с поддержкой “я с тобой, даже когда не вышло” — растёт с корнем.

6. “У тебя есть своё мнение. И я готова его слушать.”
Когда мама слышит его — он потом умеет говорить.
Слова мальчика, которые уважают — становятся голосом мужчины, который не молчит.

7. “Ты — это дар. Не потому что ты мой. А потому что ты ты.”
Ему не нужно спасать мир, чтобы быть ценным.
Если он чувствует свою значимость с детства —
он потом не будет искать её в чужом одобрении.

Финал:
Ты не воспитываешь просто мальчика.
Ты закладываешь мужчину, который когда-то будет рядом с женщиной, детьми, миром.

Скажи это сегодня.
Пусть его сила начинается с твоей веры в него.""",trending_or_other,partial,some_fields_missing,10156,,watch,no,2026-03-16T14:16:47.813Z
1.0,DIRb6oLIL86,post,https://www.instagram.com/p/DIRb6oLIL86/,p,Instagram,"@stashmua"".",77000,733,,"Старцева Наталья Визажист Москва в Instagram : ""@stashmua""",trending_or_other,partial,some_fields_missing,78613,,watch,no,2026-03-16T14:16:48.891Z
1.0,DIAu3tQIlAd,post,https://www.instagram.com/p/DIAu3tQIlAd/,p,Instagram,"Перешлите близким, которые страдают от аллергии. 🙏🏻 @dobronos_russia риилз делал Бро @kopaev_andrey хотите такой эффект к нему пожалуйста. #аллергияуребёнка #аллергия #allergy #allergic #polen #пыльца #пыльцаберезы"".",173000,3282,,"Denis Shaidullin в Instagram : ""Перешлите близким, которые страдают от аллергии. 🙏🏻 @dobronos_russia риилз делал Бро @kopaev_andrey хотите такой эффект к нему пожалуйста. #аллергияуребёнка #аллергия #allergy #allergic #polen #пыльца #пыльцаберезы""",trending_or_other,partial,some_fields_missing,180220,,watch,yes,2026-03-16T14:16:49.144Z
1.0,DF7zK7XMgHJ,post,https://www.instagram.com/p/DF7zK7XMgHJ/,p,Instagram,"Спасибо за подписку! 📚 Здесь не только подборки книг, но и мои мысли, истории и моменты из жизни. Оставайтесь, будет интересно! ❤️"".",54000,276,,"Я Таня, у меня тут книжно в Instagram : ""Спасибо за подписку! 📚 Здесь не только подборки книг, но и мои мысли, истории и моменты из жизни. Оставайтесь, будет интересно! ❤️""",trending_or_other,partial,some_fields_missing,54607,,watch,no,2026-03-16T14:16:49.894Z
